year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2010,8,Autauga County,AL,five,LO,11,1,1,1,949298.104,1449229.293,15,1010,3.5,0.002090107,7.5,133900,19718,21530,6530200,45
2011,9,Autauga County,AL,lee,EX,11,1,1,1,1720079.135,1161788.949,30,995,2.2,0.001967153,7.4,137500,19998,21859,6652100,43
2018,5,Autauga County,AL,alberto,TD,2,1,1,1,1029986.157,1067795.967,30,995,1.2,0.000729144,12,22,21115,23315,3070300,17
2010,8,Chambers County,AL,five,LO,2,1,1,1,0,0,15,1012,5,0.00011909,16.4,82200,13681,16794,400000,2
2017,9,Chambers County,AL,irma,LO,2,1,1,1,0,0,35,993,0.666666667,0,14,18,13694,16989,0,0
2018,5,Chilton County,AL,alberto,TD,2,1,1,1,66014.496,73943.199,30,995,1.2,0.000153171,15.3,128,16751,19586,521300,3
2017,10,Choctaw County,AL,nate,TS,2,1,1,1,21636,9337,60,992.5,1.523809524,0.000272889,17.4,24,5463,7329,450000,2
2010,8,Clarke County,AL,five,LO,3,1,1,1,9348.521,9242.888,25,1009,1.5,0.000157493,21.1,73300,9144,12699,288500,2
2011,9,Clarke County,AL,lee,EX,4,1,1,1,10145.57,11145.242,40,995,1.2,0.000237192,21.7,79900,9114,12648,178500,3
2017,9,Colbert County,AL,irma,LO,5,1,1,1,1425.974,1245.343,15,1003,1.75,0.000113925,12.9,104,21983,26333,450000,3
2018,5,Colbert County,AL,alberto,TD,2,1,1,1,5510.926,5467.143,30,998,1,0.000188922,12.6,155,21799,26466,575000,5
2011,9,Coosa County,AL,lee,EX,2,1,1,1,11929,17693,30,996,1,0.000618334,14.6,79200,4667,6469,524200,4
2018,5,Covington County,AL,alberto,TD,2,1,1,1,344355.607,402697.71,30,994,1.2,0.000370233,13.8,28,15008,18907,1160000,7
2010,8,Dallas County,AL,five,LO,2,1,1,1,41154.616,43153.002,20,1010,1.5,0.001474564,27.3,70300,16795,20345,3151800,30
2011,9,Dallas County,AL,lee,EX,3,1,1,1,49259,48825,40,995,1.2,0.002220249,29.4,70200,16913,20268,4639800,45
2010,8,Elmore County,AL,five,LO,4,1,1,1,46729.586,56410.196,15,1011,2,0.002770083,9.1,136500,27762,31768,13854900,88
2011,9,Elmore County,AL,lee,EX,3,1,1,1,34123.194,50018.126,30,996,1,0.003127613,9.7,143200,28085,32293,16072300,101
