year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2010,8,Autauga County,AL,five,LO,11,1,1,1,949298.104,1449229.293,15,1010,3.5,0.002090107,7.5,133900,19718,21530,6530200,45
2010,9,Autauga County,AL,five,LO,11,1,1,2,949298.104,640806.989,15,1010,3.5,0.00204366,7.5,133900,19718,21530,6519200,44
2010,10,Autauga County,AL,five,LO,11,1,1,3,949298.104,510784.078,15,1010,3.5,0.002183,7.5,133900,19718,21530,6861600,47
2010,11,Autauga County,AL,five,LO,11,1,1,4,949298.104,436679.932,15,1010,3.5,0.00190432,7.5,133900,19718,21530,6215700,41
2010,12,Autauga County,AL,five,LO,11,1,1,5,949298.104,486920.051,15,1010,3.5,0.001997213,7.5,133900,19718,21530,6160900,43
2011,1,Autauga County,AL,five,LO,11,1,1,6,949298.104,574464.643,15,1010,3.5,0.00182991,7.4,137500,19998,21859,5950100,40
2011,2,Autauga County,AL,five,LO,11,1,1,7,949298.104,422288.895,15,1010,3.5,0.001784162,7.4,137500,19998,21859,5971600,39
2011,3,Autauga County,AL,five,LO,11,1,1,8,949298.104,260827.168,15,1010,3.5,0.002150144,7.4,137500,19998,21859,7106300,47
2011,4,Autauga County,AL,five,LO,11,1,1,9,949298.104,349952.927,15,1010,3.5,0.002150144,7.4,137500,19998,21859,7063600,47
2011,5,Autauga County,AL,five,LO,11,1,1,10,949298.104,566192.949,15,1010,3.5,0.002287387,7.4,137500,19998,21859,7261900,50
2011,6,Autauga County,AL,five,LO,11,1,1,11,949298.104,1442300.567,15,1010,3.5,0.002287387,7.4,137500,19998,21859,7645300,50
2011,9,Autauga County,AL,lee,EX,11,1,1,1,1720079.135,1161788.949,30,995,2.2,0.001967153,7.4,137500,19998,21859,6652100,43
2011,10,Autauga County,AL,lee,EX,11,1,1,2,1720079.135,804265.153,30,995,2.2,0.002058649,7.4,137500,19998,21859,6696100,45
2011,11,Autauga County,AL,lee,EX,11,1,1,3,1720079.135,1155582.699,30,995,2.2,0.002012901,7.4,137500,19998,21859,6816300,44
2011,12,Autauga County,AL,lee,EX,11,1,1,4,1720079.135,1080650.91,30,995,2.2,0.002150144,7.4,137500,19998,21859,7115400,47
2012,1,Autauga County,AL,lee,EX,11,1,1,5,1720079.135,1015377.785,30,995,2.2,0.001993024,7.4,137900,19934,22077,6825100,44
2012,2,Autauga County,AL,lee,EX,11,1,1,6,1720079.135,1186738.636,30,995,2.2,0.00203832,7.4,137900,19934,22077,6815100,45
2012,3,Autauga County,AL,lee,EX,11,1,1,7,1720079.135,1408578.355,30,995,2.2,0.002219504,7.4,137900,19934,22077,7340800,49
2012,4,Autauga County,AL,lee,EX,11,1,1,8,1720079.135,1208412.382,30,995,2.2,0.002083616,7.4,137900,19934,22077,7302300,46
2012,5,Autauga County,AL,lee,EX,11,1,1,9,1720079.135,1700802.065,30,995,2.2,0.002219504,7.4,137900,19934,22077,7583200,49
2012,6,Autauga County,AL,lee,EX,11,1,1,10,1720079.135,1706088.468,30,995,2.2,0.002400688,7.4,137900,19934,22077,8157200,53
2012,7,Autauga County,AL,lee,EX,11,1,1,11,1720079.135,1838795.284,30,995,2.2,0.002672465,7.4,137900,19934,22077,9203000,59
2018,5,Autauga County,AL,alberto,TD,2,1,1,1,1029986.157,1067795.967,30,995,1.2,0.000729144,12,22,21115,23315,3070300,17
2018,6,Autauga County,AL,alberto,TD,2,1,1,2,1029986.157,1249228.412,30,995,1.2,0.000686253,12,22,21115,23315,2820300,16
2010,8,Chambers County,AL,five,LO,2,1,1,1,0,0,15,1012,5,0.00011909,16.4,82200,13681,16794,400000,2
2010,9,Chambers County,AL,five,LO,2,1,1,2,0,0,15,1012,5,0.00011909,16.4,82200,13681,16794,400000,2
2017,9,Chambers County,AL,irma,LO,2,1,1,1,0,0,35,993,0.666666667,0,14,18,13694,16989,0,0
2017,10,Chambers County,AL,irma,LO,2,1,1,2,0,0,35,993,0.666666667,0,14,18,13694,16989,0,0
2018,5,Chilton County,AL,alberto,TD,2,1,1,1,66014.496,73943.199,30,995,1.2,0.000153171,15.3,128,16751,19586,521300,3
2018,6,Chilton County,AL,alberto,TD,2,1,1,2,66014.496,67354.571,30,995,1.2,0.000102114,15.3,128,16751,19586,404300,2
2017,10,Choctaw County,AL,nate,TS,2,1,1,1,21636,9337,60,992.5,1.523809524,0.000272889,17.4,24,5463,7329,450000,2
2017,11,Choctaw County,AL,nate,TS,2,1,1,2,21636,22597,60,992.5,1.523809524,0.000136444,17.4,24,5463,7329,200000,1
2010,8,Clarke County,AL,five,LO,3,1,1,1,9348.521,9242.888,25,1009,1.5,0.000157493,21.1,73300,9144,12699,288500,2
2010,9,Clarke County,AL,five,LO,3,1,1,2,9348.521,8852.045,25,1009,1.5,7.87E-05,21.1,73300,9144,12699,250000,1
2010,10,Clarke County,AL,five,LO,3,1,1,3,9348.521,9934.304,25,1009,1.5,0.000157493,21.1,73300,9144,12699,320000,2
2011,9,Clarke County,AL,lee,EX,4,1,1,1,10145.57,11145.242,40,995,1.2,0.000237192,21.7,79900,9114,12648,178500,3
2011,10,Clarke County,AL,lee,EX,4,1,1,2,10145.57,9934.304,40,995,1.2,0.000316256,21.7,79900,9114,12648,348500,4
2011,11,Clarke County,AL,lee,EX,4,1,1,3,10145.57,6734.584,40,995,1.2,0.000237192,21.7,79900,9114,12648,285500,3
2011,12,Clarke County,AL,lee,EX,4,1,1,4,10145.57,10836.986,40,995,1.2,0.000237192,21.7,79900,9114,12648,285500,3
2017,9,Colbert County,AL,irma,LO,5,1,1,1,1425.974,1245.343,15,1003,1.75,0.000113925,12.9,104,21983,26333,450000,3
2017,10,Colbert County,AL,irma,LO,5,1,1,2,1425.974,1130.569,15,1003,1.75,0.000151901,12.9,104,21983,26333,575000,4
2017,11,Colbert County,AL,irma,LO,5,1,1,3,1425.974,1144.896,15,1003,1.75,0.000227851,12.9,104,21983,26333,675000,6
2017,12,Colbert County,AL,irma,LO,5,1,1,4,1425.974,1140.193,15,1003,1.75,0.000227851,12.9,104,21983,26333,675000,6
2018,1,Colbert County,AL,irma,LO,5,1,1,5,1425.974,5695.564,15,1003,1.75,0.000226706,12.6,155,21799,26466,675000,6
2018,5,Colbert County,AL,alberto,TD,2,1,1,1,5510.926,5467.143,30,998,1,0.000188922,12.6,155,21799,26466,575000,5
2018,6,Colbert County,AL,alberto,TD,2,1,1,2,5510.926,6158.048,30,998,1,0.00026449,12.6,155,21799,26466,925000,7
2011,9,Coosa County,AL,lee,EX,2,1,1,1,11929,17693,30,996,1,0.000618334,14.6,79200,4667,6469,524200,4
2011,10,Coosa County,AL,lee,EX,2,1,1,2,11929,13049,30,996,1,0.000618334,14.6,79200,4667,6469,524200,4
2018,5,Covington County,AL,alberto,TD,2,1,1,1,344355.607,402697.71,30,994,1.2,0.000370233,13.8,28,15008,18907,1160000,7
2018,6,Covington County,AL,alberto,TD,2,1,1,2,344355.607,366481.526,30,994,1.2,0.000423124,13.8,28,15008,18907,1228100,8
2010,8,Dallas County,AL,five,LO,2,1,1,1,41154.616,43153.002,20,1010,1.5,0.001474564,27.3,70300,16795,20345,3151800,30
2010,9,Dallas County,AL,five,LO,2,1,1,2,41154.616,42573.941,20,1010,1.5,0.00162202,27.3,70300,16795,20345,3424900,33
2011,9,Dallas County,AL,lee,EX,3,1,1,1,49259,48825,40,995,1.2,0.002220249,29.4,70200,16913,20268,4639800,45
2011,10,Dallas County,AL,lee,EX,3,1,1,2,49259,37254,40,995,1.2,0.00217091,29.4,70200,16913,20268,4476200,44
2011,11,Dallas County,AL,lee,EX,3,1,1,3,49259,50074,40,995,1.2,0.002022893,29.4,70200,16913,20268,4128000,41
2010,8,Elmore County,AL,five,LO,4,1,1,1,46729.586,56410.196,15,1011,2,0.002770083,9.1,136500,27762,31768,13854900,88
2010,9,Elmore County,AL,five,LO,4,1,1,2,46729.586,42483.007,15,1011,2,0.002738605,9.1,136500,27762,31768,13351400,87
2010,10,Elmore County,AL,five,LO,4,1,1,3,46729.586,43399.937,15,1011,2,0.002738605,9.1,136500,27762,31768,13313300,87
2010,11,Elmore County,AL,five,LO,4,1,1,4,46729.586,72182.743,15,1011,2,0.002990431,9.1,136500,27762,31768,14150200,95
2011,9,Elmore County,AL,lee,EX,3,1,1,1,34123.194,50018.126,30,996,1,0.003127613,9.7,143200,28085,32293,16072300,101
2011,10,Elmore County,AL,lee,EX,3,1,1,2,34123.194,32282.886,30,996,1,0.003406311,9.7,143200,28085,32293,17662000,110
2011,11,Elmore County,AL,lee,EX,3,1,1,3,34123.194,76996.246,30,996,1,0.003561143,9.7,143200,28085,32293,18317600,115
2017,10,Greene County,AL,nate,TD,9,1,1,1,92633,108439,35,995,0.666666667,0.000197785,33.4,0,3025,5056,100000,1
2017,11,Greene County,AL,nate,TD,9,1,1,2,92633,62633,35,995,0.666666667,0.000197785,33.4,0,3025,5056,100000,1
2017,12,Greene County,AL,nate,TD,9,1,1,3,92633,52391,35,995,0.666666667,0.000197785,33.4,0,3025,5056,100000,1
2018,1,Greene County,AL,nate,TD,9,1,1,4,92633,72463,35,995,0.666666667,0.000394089,33.4,0,2955,5075,219700,2
2018,2,Greene County,AL,nate,TD,9,1,1,5,92633,47358,35,995,0.666666667,0.000394089,33.4,0,2955,5075,219700,2
2018,3,Greene County,AL,nate,TD,9,1,1,6,92633,52384,35,995,0.666666667,0.000591133,33.4,0,2955,5075,358700,3
2018,4,Greene County,AL,nate,TD,9,1,1,7,92633,55077,35,995,0.666666667,0.000591133,33.4,0,2955,5075,358700,3
2018,5,Greene County,AL,nate,TD,9,1,1,8,92633,77421,35,995,0.666666667,0.000591133,33.4,0,2955,5075,358700,3
2018,6,Greene County,AL,nate,TD,9,1,1,9,92633,127724,35,995,0.666666667,0.000985222,33.4,0,2955,5075,708700,5
2017,10,Hale County,AL,nate,TD,2,1,1,1,2924.735,2715.215,35,995,0.666666667,0.000773894,21.2,22,5664,7753,654700,6
2017,11,Hale County,AL,nate,TD,2,1,1,2,2924.735,3189.385,35,995,0.666666667,0.000773894,21.2,22,5664,7753,654700,6
2010,8,Houston County,AL,five,LO,5,1,1,1,1253486.678,1264608.452,20,1012,2,0.001321892,12.7,116300,38035,44633,8571000,59
